I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, A1, A2, A3, 
-78, -107, -29, 92, -24, -68, 73, 0, -53, -107, -131, -107, 9, 24, 24, 
-73, -107, -34, 90, -19, -70, 73, 4, -48, -107, -131, -107, 9, 24, 24, 
-68, -102, -34, 85, -17, -68, 73, 9, -43, -107, -131, -107, 9, 24, 24, 
-63, -97, -34, 80, -14, -65, 73, 14, -39, -112, -131, -107, 9, 29, 29, 
-63, -87, -24, 75, -19, -56, 73, 19, -29, -97, -122, -102, 19, 39, 39, 
-63, -87, -24, 75, -19, -56, 73, 24, -29, -92, -117, -102, 19, 39, 43, 
-63, -87, -24, 75, -19, -56, 73, 29, -34, -87, -117, -102, 19, 39, 48, 
-63, -87, -24, 75, -19, -56, 73, 34, -34, -87, -112, -107, 19, 39, 53, 
-48, -82, -34, 65, -7, -58, 63, 48, -24, -78, -102, -97, 4, 34, 53, 
-48, -73, -24, 61, -12, -48, 68, 48, -19, -78, -102, -97, 4, 34, 58, 
-48, -68, -19, 58, -14, -43, 68, 48, -14, -82, -102, -97, 4, 34, 58, 
-48, -63, -14, 56, -17, -39, 68, 48, -9, -82, -112, -102, 9, 39, 58, 
-48, -73, -24, 61, -12, -48, 63, 39, -9, -82, -102, -107, 9, 34, 48, 
-58, -78, -19, 68, -19, -48, 63, 43, -19, -87, -107, -112, 4, 34, 53, 
-58, -78, -19, 68, -19, -48, 63, 43, -19, -92, -112, -112, 4, 39, 53, 
-63, -78, -14, 70, -24, -46, 63, 43, -14, -97, -112, -112, 4, 39, 53, 
-53, -73, -19, 63, -17, -46, 63, 39, -14, -97, -122, -102, 4, 43, 63, 
-53, -73, -19, 63, -17, -46, 58, 39, -19, -102, -126, -102, 4, 43, 63, 
-53, -73, -19, 63, -17, -46, 53, 39, -24, -107, -131, -112, 4, 43, 63, 
-53, -78, -24, 65, -14, -51, 53, 39, -24, -107, -136, -112, 4, 43, 63, 
-63, -87, -24, 75, -19, -56, 58, 48, -29, -112, -141, -126, 9, 53, 63, 
-63, -87, -24, 75, -19, -56, 58, 48, -34, -117, -141, -126, 9, 53, 63, 
-63, -87, -24, 75, -19, -56, 58, 48, -34, -117, -141, -126, 9, 53, 63, 
-63, -87, -24, 75, -19, -56, 58, 48, -34, -122, -146, -131, 9, 53, 63, 
-63, -82, -19, 73, -21, -51, 58, 43, -48, -126, -141, -131, 9, 53, 63, 
-68, -82, -14, 75, -26, -48, 58, 39, -48, -136, -146, -136, 9, 53, 63, 
-73, -87, -14, 80, -29, -51, 58, 34, -53, -141, -151, -141, 9, 58, 63, 
-73, -87, -14, 80, -29, -51, 63, 34, -63, -151, -165, -151, 9, 58, 63, 
-63, -78, -14, 70, -24, -46, 53, 39, -58, -151, -161, -151, 4, 68, 68, 
-63, -78, -14, 70, -24, -46, 53, 39, -58, -156, -161, -151, 4, 68, 68, 
-63, -78, -14, 70, -24, -46, 58, 43, -58, -161, -161, -151, 4, 73, 68, 
