I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-63, -48, 14, 56, -39, -17, 39, 351, -97, 258, 161, 141, 
-58, -43, 14, 51, -36, -14, 39, 356, -92, 258, 161, 141, 
-63, -43, 19, 53, -41, -12, 39, 351, -92, 253, 156, 141, 
-63, -43, 19, 53, -41, -12, 39, 351, -92, 253, 156, 141, 
-63, -39, 24, 51, -43, -7, 34, 351, -87, 253, 156, 146, 
-63, -39, 24, 51, -43, -7, 29, 356, -87, 258, 161, 151, 
-63, -43, 19, 53, -41, -12, 29, 356, -87, 258, 161, 146, 
-68, -48, 19, 58, -43, -14, 29, 361, -92, 258, 156, 136, 
-68, -58, 9, 63, -39, -24, 34, 356, -92, 258, 156, 131, 
-68, -48, 19, 58, -43, -14, 34, 351, -92, 258, 156, 131, 
-68, -39, 29, 53, -48, -4, 34, 356, -87, 263, 156, 136, 
-68, -39, 29, 53, -48, -4, 34, 356, -92, 258, 156, 131, 
-58, -39, 19, 48, -39, -9, 34, 361, -92, 258, 156, 131, 
