I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
9, 39, 29, -24, -9, 34, -29, -4, -24, -4, 0, 9, 
-4, 29, 34, -12, -19, 31, -19, -4, -19, -4, 0, 0, 
-4, 9, 14, -2, -9, 12, -14, -9, -29, -14, -14, -4, 
-4, -9, -4, 7, 0, -7, -14, -14, -43, -29, -29, -19, 
-9, -19, -9, 14, 0, -14, -14, -14, -58, -43, -39, -19, 
-14, -24, -9, 19, -2, -17, -14, -14, -58, -48, -43, -24, 
-14, -24, -9, 19, -2, -17, -9, -14, -58, -48, -43, -29, 
-14, -24, -9, 19, -2, -17, -9, -9, -53, -48, -43, -29, 
-19, -34, -14, 26, -2, -24, -4, -9, -53, -48, -48, -34, 
-24, -34, -9, 29, -7, -21, -4, -9, -53, -48, -58, -43, 
-29, -34, -4, 31, -12, -19, 0, -9, -63, -48, -58, -48, 
-34, -39, -4, 36, -14, -21, 0, -14, -68, -48, -63, -48, 
-29, -39, -9, 34, -9, -24, 0, -14, -68, -53, -58, -39, 
-29, -39, -9, 34, -9, -24, 4, -14, -68, -53, -53, -29, 
-29, -39, -9, 34, -9, -24, 4, -14, -68, -53, -53, -29, 
-29, -39, -9, 34, -9, -24, 4, -9, -68, -48, -53, -29, 
-29, -43, -14, 36, -7, -29, 4, -9, -68, -48, -53, -34, 
-29, -43, -14, 36, -7, -29, 9, -9, -68, -48, -53, -39, 
-34, -48, -14, 41, -9, -31, 9, -9, -68, -48, -53, -34, 
-39, -48, -9, 43, -14, -29, 9, -9, -68, -48, -53, -34, 
-43, -39, 4, 41, -24, -17, 9, -19, -68, -48, -48, -39, 
-53, -24, 29, 39, -41, 2, 9, -24, -43, -39, -48, -48, 
-68, 0, 68, 34, -68, 34, 9, -39, -19, -14, -43, -58, 
-68, 29, 97, 19, -82, 63, 0, -43, 19, 48, -4, -53, 
-39, 126, 165, -43, -102, 146, -29, -43, 112, 175, 102, 19, 
29, 297, 268, -163, -119, 283, -82, -39, 268, 385, 292, 151, 
200, 536, 336, -368, -68, 436, -161, 34, 478, 668, 541, 346, 
400, 766, 366, -583, 17, 566, -219, 204, 717, 971, 805, 570, 
595, 941, 346, -768, 124, 644, -297, 405, 863, 1215, 1029, 766, 
707, 858, 151, -783, 278, 505, -283, 634, 795, 1073, 990, 863, 
800, 497, -302, -649, 551, 97, -141, 907, 644, 722, 736, 854, 
805, 87, -717, -446, 761, -314, -9, 951, 468, 439, 478, 785, 
