I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, X, Y, Z
-48,-39,9,43,-29,-14,14,-19,-63,-87,-97,-82,-82,-19,0
-48,-39,9,43,-29,-14,14,-14,-63,-87,-97,-78,-82,-19,0
-43,-39,4,41,-24,-17,14,-14,-63,-82,-97,-73,-78,-19,-4
-43,-39,4,41,-24,-17,14,-19,-63,-82,-92,-68,-78,-19,-4
-43,-39,4,41,-24,-17,14,-14,-63,-82,-87,-68,-78,-24,-4
-39,-39,0,39,-19,-19,14,-9,-63,-82,-82,-68,-78,-24,-4
-39,-34,4,36,-21,-14,14,-9,-58,-82,-82,-63,-78,-19,0
-39,-34,4,36,-21,-14,14,-9,-58,-82,-87,-63,-78,-19,0
-39,-34,4,36,-21,-14,14,-9,-58,-82,-87,-63,-78,-19,0
-34,-34,0,34,-17,-17,14,-9,-58,-82,-87,-63,-73,-19,0
-34,-39,-4,36,-14,-21,14,-14,-58,-82,-92,-73,-73,-19,0
-34,-39,-4,36,-14,-21,14,-19,-58,-82,-97,-78,-73,-24,-4
-34,-34,0,34,-17,-17,14,-19,-63,-87,-97,-78,-73,-24,-4
-34,-34,0,34,-17,-17,14,-19,-63,-87,-97,-78,-73,-19,-4
-39,-34,4,36,-21,-14,14,-19,-63,-87,-102,-78,-73,-19,-4
-43,-34,9,39,-26,-12,19,-19,-63,-87,-102,-78,-73,-19,-4
-48,-34,14,41,-31,-9,19,-19,-63,-87,-102,-78,-73,-19,-4
-53,-34,19,43,-36,-7,19,-14,-63,-92,-102,-78,-78,-19,0
-53,-34,19,43,-36,-7,19,-14,-68,-97,-102,-78,-78,-24,-4
-53,-34,19,43,-36,-7,19,-14,-68,-102,-102,-78,-82,-24,-9
-53,-34,19,43,-36,-7,19,-14,-63,-102,-107,-82,-82,-24,-9
-48,-34,14,41,-31,-9,19,-14,-63,-102,-107,-78,-82,-29,-9
-48,-34,14,41,-31,-9,14,-14,-68,-102,-107,-78,-82,-29,-4
-48,-39,9,43,-29,-14,9,-19,-78,-107,-107,-78,-87,-29,0
