I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-63,-63,0,63,-31,-31,-4,4,-4,-34,-53,-102
-43,-63,-19,53,-12,-41,-9,0,-9,-29,-48,-102
-58,-63,-4,61,-26,-34,-9,-9,-9,-24,-39,-107
-29,-39,-9,34,-9,-24,9,-34,-4,-34,-48,-107
4,-24,-29,9,17,-26,14,-58,-4,-43,-58,-112
0,-19,-19,9,9,-19,19,-78,-4,-34,-53,-102
-9,-19,-9,14,0,-14,29,-97,-9,-29,-48,-97
-43,-34,9,39,-26,-12,24,-58,0,-24,-39,-87
-78,-48,29,63,-53,-9,19,-19,9,-19,-29,-78
-87,-48,39,68,-63,-4,9,9,9,-19,-29,-78
-97,-48,48,73,-73,0,0,39,9,-19,-29,-78
-78,-78,0,78,-39,-39,-14,4,-9,-39,-48,-92
-58,-107,-48,82,-4,-78,-29,-29,-29,-58,-68,-107
-14,-53,-39,34,12,-46,-14,-34,-14,-43,-53,-97
29,0,-29,-14,29,-14,0,-39,0,-29,-39,-87
0,-9,-9,4,4,-9,14,-39,9,-29,-39,-87
-29,-19,9,24,-19,-4,29,-39,19,-29,-39,-87
-63,-39,24,51,-43,-7,19,-34,9,-29,-43,-92
-97,-58,39,78,-68,-9,9,-29,0,-29,-48,-97
-68,-34,34,51,-51,0,9,-29,0,-29,-48,-97
-39,-9,29,24,-34,9,9,-29,0,-29,-48,-97
-34,-24,9,29,-21,-7,24,-19,4,-24,-39,-87
-29,-39,-9,34,-9,-24,39,-9,9,-19,-29,-78
-19,-39,-19,29,0,-29,24,-9,9,-19,-29,-78
-9,-39,-29,24,9,-34,9,-9,9,-19,-29,-78
-24,-43,-19,34,-2,-31,-9,-14,9,-24,-39,-92
-39,-48,-9,43,-14,-29,-29,-19,9,-29,-48,-107
-39,-48,-9,43,-14,-29,-9,-29,4,-34,-53,-107
-39,-48,-9,43,-14,-29,9,-39,0,-39,-58,-107
-24,-29,-4,26,-9,-17,34,-39,0,-39,-58,-107
-9,-9,0,9,-4,-4,58,-39,0,-39,-58,-107
-19,-29,-9,24,-4,-19,14,-34,0,-34,-53,-102
-29,-48,-19,39,-4,-34,-29,-29,0,-29,-48,-97
-68,-73,-4,70,-31,-39,-29,-29,0,-24,-43,-97
-107,-97,9,102,-58,-43,-29,-29,0,-19,-39,-97
-63,-48,14,56,-39,-17,19,-9,14,-9,-34,-87
-19,0,19,9,-19,9,68,9,29,0,-29,-78
-19,-9,9,14,-14,0,68,9,29,-9,-29,-78
-19,-19,0,19,-9,-9,68,9,29,-19,-29,-78
-43,-43,0,43,-21,-21,39,-9,9,-24,-43,-92
-68,-68,0,68,-34,-34,9,-29,-9,-29,-58,-107
-48,-58,-9,53,-19,-34,0,-58,-9,-48,-68,-117
-29,-48,-19,39,-4,-34,-9,-87,-9,-68,-78,-126
-39,-48,-9,43,-14,-29,-9,-48,4,-39,-58,-102
-48,-48,0,48,-24,-24,-9,-9,19,-9,-39,-78
-48,-48,0,48,-24,-24,4,4,19,-9,-29,-78
-48,-48,0,48,-24,-24,19,19,19,-9,-19,-78
-48,-48,0,48,-24,-24,9,4,14,-14,-34,-87
-48,-48,0,48,-24,-24,0,-9,9,-19,-48,-97
-48,-73,-24,61,-12,-48,-9,-24,9,-24,-48,-97
-48,-97,-48,73,0,-73,-19,-39,9,-29,-48,-97
-19,-68,-48,43,14,-58,-19,-53,0,-34,-53,-102
9,-39,-48,14,29,-43,-19,-68,-9,-39,-58,-107
-14,-39,-24,26,4,-31,14,-58,4,-39,-58,-107
-39,-39,0,39,-19,-19,48,-48,19,-39,-58,-107
-48,-43,4,46,-26,-19,53,-19,19,-24,-43,-97
